node    rtx6004
cores   32
out     /onyx/data/p330/c4
tokens  1e10 in 32 shards
2026-08-24T18:00:51+03:00
[val] /onyx/data/p330/c4/c4_val.bin: 0.010B tokens
[train 4/32] 16.1M tokens
[train 0/32] 16.1M tokens
[train 22/32] 16.3M tokens
[train 3/32] 16.2M tokens
[train 16/32] 16.2M tokens
[train 20/32] 16.1M tokens
[train 25/32] 16.2M tokens
[train 14/32] 16.4M tokens
[train 6/32] 16.0M tokens
[train 4/32] 32.1M tokens
[train 26/32] 16.4M tokens
[train 27/32] 16.3M tokens
[train 0/32] 32.1M tokens
[train 22/32] 32.6M tokens
[train 3/32] 32.3M tokens
[train 16/32] 32.5M tokens
[train 25/32] 32.3M tokens
[train 14/32] 32.8M tokens
[train 4/32] 48.3M tokens
[train 20/32] 32.5M tokens
[train 6/32] 31.9M tokens
[train 0/32] 48.5M tokens
[train 26/32] 32.7M tokens
[train 27/32] 32.3M tokens
[train 22/32] 48.9M tokens
[train 3/32] 48.4M tokens
[train 16/32] 48.7M tokens
[train 25/32] 48.3M tokens
[train 14/32] 48.9M tokens
[train 4/32] 64.5M tokens
[train 20/32] 48.8M tokens
[train 0/32] 64.8M tokens
[train 6/32] 48.1M tokens
[train 26/32] 48.4M tokens
[train 22/32] 64.8M tokens
[train 27/32] 48.5M tokens
[train 3/32] 64.6M tokens
[train 16/32] 65.0M tokens
[train 25/32] 64.6M tokens
[train 14/32] 65.3M tokens
[train 4/32] 80.7M tokens
[train 0/32] 80.7M tokens
[train 20/32] 64.9M tokens
[train 22/32] 80.9M tokens
[train 6/32] 64.4M tokens
[train 3/32] 80.6M tokens
[train 26/32] 64.5M tokens
[train 27/32] 64.7M tokens
[train 16/32] 81.1M tokens
[train 25/32] 81.1M tokens
[train 14/32] 81.3M tokens
[train 4/32] 97.1M tokens
[train 0/32] 97.1M tokens
[train 22/32] 97.1M tokens
[train 20/32] 80.9M tokens
[train 3/32] 96.6M tokens
[train 6/32] 80.7M tokens
[train 16/32] 97.3M tokens
[train 26/32] 80.6M tokens
[train 25/32] 97.4M tokens
[train 27/32] 81.0M tokens
[train 14/32] 97.6M tokens
[train 4/32] 113.2M tokens
[train 0/32] 113.4M tokens
[train 22/32] 113.1M tokens
[train 3/32] 113.0M tokens
[train 20/32] 97.1M tokens
[train 16/32] 113.5M tokens
[train 6/32] 96.8M tokens
[train 25/32] 113.3M tokens
[train 4/32] 129.3M tokens
